0.204,0.236,0.244,0.192,0.196,0.22,0.216,0.112,0.096,0.1,0.072,0.052,0.108,0.124,0.056,0.06,0.096,0.072,0.088,0.1,0.064,0.052,0.076,0.112,0.076,0.06,0.104,0.068,0.092,0.136,0.084,0.064,0.088,0.1,0.104,0.084,0.104,0.064,0.06,0.124,0.536,0.892,0.088,0.128,0.152,0.32,0.148,0.072,0.06,0.088,0.128,0.08,0.06,0.1,0.072,0.092,0.104,0.096,0.06,0.064,0.108,0.12,0.064,0.06,0.1,0.076,0.1,0.088,0.096,0.06,0.06,0.112,0.1,0.044,0.048,0.08,0.076,0.096,0.116,0.144,0.108,0.112,0.136,0.084,0.048,0.044,0.08,0.088,0.08,0.048,0.084,0.044,0.068,0.1,0.076,0.048
0.048,0.08,0.096,0.068,0.044,0.084,0.052,0.08,0.076,0.088,0.048,0.044,0.072,0.116,0.056,0.048,0.056,0.08,0.084,0.068,0.068,0.068,0.052,0.076,0.112,0.06,0.064,0.068,0.116,0.108,0.08,0.064,0.1,0.064,0.1,0.088,0.208,0.128,0.336,0.324,1.392,0.14,0.104,0.136,0.136,0.132,0.436,1.76,0.068,0.088,0.104,0.116,0.064,0.064,0.072,0.144,0.088,0.064,0.08,0.088,0.096,0.096,0.12,0.396,0.164,0.224,0.252,0.168,0.248,0.872,0.76,0.288,0.892,0.352,0.204,0.188,0.216,0.256,0.176,0.14,0.12,0.088,0.092,0.068,0.088,0.056,0.052,0.096,0.104,0.048,0.044,0.072,0.088,0.084,0.048,0.084
0.048,0.06,0.096,0.084,0.048,0.044,0.084,0.096,0.072,0.048,0.084,0.048,0.076,0.092,0.072,0.052,0.052,0.084,0.1,0.056,0.052,0.14,0.064,0.084,0.068,0.084,0.044,0.048,0.08,0.112,0.048,0.044,0.052,0.1,0.08,0.052,0.056,0.072,0.052,0.084,0.08,0.068,0.044,0.044,0.104,0.092,0.044,0.044,0.084,0.092,0.104,0.072,0.1,0.068,0.072,0.108,0.12,0.06,0.056,0.096,0.188,0.284,0.472,0.636,1.232,0.852,0.22,0.5,0.172,0.168,0.208,0.24,0.232,0.584,0.228,0.204,0.196,0.204,0.188,0.116,0.12,0.136,0.22,0.12,0.084,0.084,0.084,0.072,0.092,0.076,0.072,0.048,0.052,0.112,0.084,0.044
0.044,0.076,0.092,0.08,0.044,0.08,0.056,0.064,0.084,0.088,0.048,0.048,0.052,0.12,0.072,0.048,0.056,0.072,0.08,0.08,0.064,0.064,0.052,0.064,0.108,0.076,0.044,0.048,0.084,0.084,0.068,0.048,0.084,0.048,0.076,0.12,0.244,0.32,0.448,0.564,0.32,0.132,0.1,0.14,0.684,0.132,0.148,0.072,0.052,0.068,0.128,0.116,0.068,0.068,0.1,0.096,0.108,0.08,0.1,0.068,0.064,0.104,0.124,0.064,0.064,0.756,1.528,0.768,0.132,0.132,0.164,0.168,0.18,0.156,0.124,0.104,0.1,0.168,0.152,0.108,0.132,0.148,0.124,0.144,0.124,0.136,0.064,0.048,0.092,0.116,0.044,0.048,0.06,0.1,0.084,0.056
0.064,0.072,0.052,0.088,0.092,0.068,0.048,0.048,0.096,0.104,0.048,0.048,0.072,0.076,0.088,0.072,0.08,0.06,0.048,0.084,0.116,0.048,0.048,0.048,0.1,0.084,0.06,0.048,0.084,0.048,0.088,0.072,0.084,0.048,0.048,0.072,0.124,0.204,0.092,0.128,0.112,0.172,0.32,0.34,0.572,0.096,0.132,0.096,0.052,0.068,0.104,0.088,0.104,0.084,0.1,0.068,0.068,0.12,0.116,0.064,0.06,0.092,0.156,0.204,0.192,0.14,0.06,0.068,0.128,0.096,0.064,0.056,0.084,0.084,0.08,0.056,0.1,0.088,0.108,0.176,0.148,0.128,0.124,0.164,0.164,0.128,0.124,0.128,0.06,0.08,0.112,0.068,0.048,0.048,0.088,0.092
0.068,0.048,0.084,0.048,0.08,0.092,0.072,0.048,0.048,0.088,0.1,0.056,0.048,0.08,0.056,0.088,0.076,0.088,0.048,0.052,0.076,0.12,0.052,0.052,0.072,0.068,0.088,0.064,0.084,0.048,0.048,0.096,0.108,0.048,0.048,0.216,0.256,0.156,0.076,0.56,0.284,0.096,0.136,0.252,0.892,0.124,0.508,0.832,0.12,0.104,0.132,0.1,0.116,1.396,0.796,0.068,0.064,0.096,0.112,0.088,0.068,0.1,0.064,0.104,0.128,0.092,0.068,0.072,0.116,0.108,0.088,0.072,0.076,0.052,0.08,0.148,0.1,0.076,0.056,0.172,0.14,0.104,0.1,0.132,0.08,0.092,0.104,0.056,0.048,0.048,0.112,0.084,0.052,0.056,0.076,0.06
0.088,0.08,0.068,0.048,0.048,0.112,0.084,0.048,0.048,0.084,0.068,0.092,0.06,0.08,0.048,0.06,0.104,0.092,0.048,0.048,0.076,0.092,0.08,0.048,0.08,0.116,0.068,0.092,0.088,0.048,0.048,0.064,0.104,0.072,0.048,0.072,0.056,0.072,0.084,0.084,0.048,0.044,0.064,0.112,0.068,0.044,0.06,0.068,0.088,0.1,0.088,0.08,0.068,0.084,0.136,0.084,0.068,0.1,0.184,0.148,0.116,0.12,0.744,2.276,1.912,0.752,0.16,0.14,0.164,0.24,0.192,0.152,0.148,0.164,0.168,0.192,0.236,0.076,0.052,0.076,0.116,0.056,0.044,0.076,0.068,0.084,0.068,0.104,0.092,0.092,0.148,0.14,0.092,0.084,0.124,0.076
0.088,0.064,0.072,0.048,0.06,0.116,0.072,0.048,0.056,0.076,0.084,0.08,0.068,0.06,0.048,0.072,0.12,0.06,0.052,0.064,0.076,0.092,0.072,0.084,0.048,0.056,0.112,0.124,0.068,0.068,0.096,0.096,0.108,0.076,0.1,0.068,0.076,0.128,0.1,0.072,0.552,0.276,0.096,0.112,1.156,1.42,0.18,0.204,0.232,0.164,0.188,0.26,0.084,0.136,0.252,0.184,0.064,0.072,0.128,0.104,0.068,0.068,0.104,0.104,0.172,0.232,0.14,0.352,3.748,1.188,0.36,0.32,0.32,0.388,0.268,0.088,0.084,0.068,0.124,0.104,0.1,0.084,0.06,0.096,0.104,0.108,0.104,0.08,0.196,0.212,0.252,0.224,0.228,0.232,0.276,0.324
0.244,0.168,0.084,0.092,0.084,0.104,0.124,0.076,0.072,0.072,0.096,0.12,0.092,0.068,0.076,0.064,0.108,0.084,0.048,0.068,0.048,0.112,0.092,0.056,0.072,0.052,0.108,0.12,0.084,0.088,0.068,0.084,0.128,0.096,0.084,0.072,0.072,0.128,0.104,0.072,0.12,0.144,0.16,0.168,0.18,0.708,0.272,0.128,0.168,0.112,0.096,0.084,0.084,0.16,0.176,0.176,0.14,0.172,0.164,0.188,0.164,0.132,0.184,0.164,0.216,0.2,0.648,1.036,0.376,0.228,0.292,0.064,0.068,0.048,0.108,0.084,0.084,0.044,0.072,0.076,0.108,0.1,0.116,0.084,0.128,0.096,0.088,0.048,0.072,0.064,0.108,0.072,0.072,0.048,0.08,0.088
0.092,0.052,0.056,0.072,0.084,0.1,0.048,0.068,0.052,0.108,0.084,0.056,0.06,0.048,0.108,0.084,0.068,0.048,0.056,0.104,0.108,0.096,0.068,0.088,0.096,0.108,0.096,0.068,0.088,0.088,0.116,0.096,0.064,0.092,0.072,0.172,0.188,0.196,0.172,0.308,0.156,0.096,0.08,0.064,0.06,0.112,0.104,0.096,0.068,0.072,0.1,0.104,0.104,0.064,0.088,0.276,2.056,0.488,0.54,0.272,0.208,0.292,0.416,0.196,0.072,0.068,0.1,0.108,0.108,0.068,0.072,0.084,0.104,0.124,0.068,0.108,0.188,0.16,0.204,0.152,0.148,0.116,0.12,0.144,0.1,0.08,0.068,0.092,0.088,0.12,0.088,0.068,0.092,0.072,0.124,0.088
