LoadID,Generation_kW
load26,4.805469645478219
load44,4.805469645478219
load18,4.805469645478219
load28,4.805469645478219
load54,4.805469645478219
load42,4.805469645478219
load9,4.805469645478219
load15,4.805469645478219
load30,4.805469645478219
load4,4.80546964547822
load39,4.805469645478219
load16,4.805469645478219
load24,4.805469645478219
load5,4.805469645478219
load50,4.805469645478219
load25,4.805469645478219
load2,4.805469645478219
load34,4.805469645478219
load52,4.805469645478219
load27,4.805469645478219
load21,4.805469645478219
load40,4.805469645478219
load41,4.805469645478219
load38,4.805469645478219
load14,4.805469645478219
load48,4.805469645478219
load49,4.805469645478219
load35,4.805469645478219
load22,4.805469645478219
load13,4.805469645478219
load53,4.805469645478219
load46,4.805469645478219
load43,4.805469645478219
load3,4.805469645478219
load32,4.805469645478219
load10,4.805469645478219
load6,4.805469645478219
load45,4.805469645478219
load20,4.805469645478219
load7,4.805469645478219
load33,4.805469645478219
load11,4.805469645478219
load8,4.805469645478219
load19,4.805469645478219
load12,4.805469645478219
load17,4.805469645478219
load31,4.805469645478219
load47,4.805469645478219
load51,4.805469645478219
load36,4.805469645478219
load23,4.805469645478219
load37,4.805469645478219
load1,4.805469645478219
load29,4.805469645478219
load55,4.805469645478219
