LoadID,Generation_kW
load26,4.5593803566499425
load44,4.5593803566499425
load18,4.5593803566499425
load28,4.5593803566499425
load54,4.5593803566499425
load42,4.5593803566499425
load9,4.5593803566499425
load15,4.5593803566499425
load30,4.5593803566499425
load4,4.5593803566499425
load39,4.5593803566499425
load16,4.5593803566499425
load24,4.5593803566499425
load5,4.5593803566499425
load50,4.5593803566499425
load25,4.5593803566499425
load2,4.5593803566499425
load34,4.5593803566499425
load52,4.5593803566499425
load27,4.5593803566499425
load21,4.5593803566499425
load40,4.5593803566499425
load41,4.5593803566499425
load38,4.5593803566499425
load14,4.5593803566499425
load48,4.5593803566499425
load49,4.5593803566499425
load35,4.5593803566499425
load22,4.5593803566499425
load13,4.5593803566499425
load53,4.5593803566499425
load46,4.5593803566499425
load43,4.5593803566499425
load3,4.5593803566499425
load32,4.5593803566499425
load10,4.5593803566499425
load6,4.5593803566499425
load45,4.5593803566499425
load20,4.5593803566499425
load7,4.5593803566499425
load33,4.5593803566499425
load11,4.5593803566499425
load8,4.5593803566499425
load19,4.5593803566499425
load12,4.5593803566499425
load17,4.5593803566499425
load31,4.5593803566499425
load47,4.5593803566499425
load51,4.5593803566499425
load36,4.5593803566499425
load23,4.5593803566499425
load37,4.5593803566499425
load1,4.5593803566499425
load29,4.5593803566499425
load55,4.5593803566499425
