LoadID,Generation_kW
load1,12.6139532910993
load11,12.6139532910993
load23,12.6139532910993
load3,12.6139532910993
load20,12.6139532910993
load18,12.6139532910993
load16,12.6139532910993
load4,12.6139532910993
load13,12.6139532910993
load21,12.6139532910993
load2,12.6139532910993
load6,12.6139532910993
load7,12.6139532910993
load12,12.6139532910993
load15,12.6139532910993
load8,12.6139532910993
load5,12.6139532910993
load22,12.6139532910993
load17,12.6139532910993
load9,12.6139532910993
load19,12.6139532910993
load14,12.6139532910993
load10,12.6139532910993
