LoadID,Generation_kW
load29,3.6774517707664325
load152,3.677451770766436
load144,3.677451770766434
load93,3.677451770766428
load114,3.6774517707664325
load33,3.67745177076643
load125,3.677451770766431
load66,3.677451770766427
load112,3.677451770766432
load97,3.677451770766434
load72,3.677451770766434
load9,3.6774517707664334
load56,3.677451770766435
load163,3.6774517707664334
load53,3.677451770766435
load12,3.6774517707664334
load8,3.677451770766428
load68,3.6774517707664347
load146,3.67745177076643
load169,3.6774517707665653
load116,3.677451770766431
load107,3.677451770766431
load52,3.6774517707664325
load74,3.67745177076643
load135,3.677451770766432
load122,3.6774517707664347
load44,3.6774517707664365
load153,3.677451770766431
load117,3.67745177076643
load147,3.677451770766431
load104,3.677451770766435
load51,3.677451770766427
load20,3.67745177076643
load67,3.677451770766432
load126,3.677451770766432
load78,3.677451770766432
load113,3.6774517707664334
load11,3.677451770766435
load55,3.67745177076643
load21,3.6774517707664347
load162,3.677451770766432
load131,3.6774517707664347
load139,3.677451770766431
load138,3.6774517707664325
load166,3.6774517707663663
load17,3.677451770766427
load77,3.677451770766432
load141,3.677451770766431
load15,3.677451770766428
load80,3.6774517707664267
load98,3.6774517707664525
load81,3.6774517707664334
load161,3.677451770766435
load38,3.677451770766432
load94,3.677451770766434
load19,3.6774517707664374
load148,3.67745177076643
load28,3.6774517707664325
load18,3.6774517707664307
load85,3.677451770766432
load27,3.67745177076643
load7,3.677451770766434
load121,3.677451770766431
load46,3.677451770766434
load130,3.677451770766431
load103,3.67745177076643
load102,3.6774517707664294
load41,3.677451770766432
load25,3.677451770766435
load96,3.677451770766435
load90,3.677451770766431
load159,3.677451770766435
load87,3.677451770766434
load79,3.677451770766436
load151,3.677451770766434
load92,3.677451770766432
load69,3.677451770766431
load174,3.6774517707664267
load160,3.67745177076643
load170,3.677451770766431
load127,3.677451770766436
load47,3.6774517707664347
load34,3.677451770766431
load140,3.677451770766432
load36,3.677451770766432
load24,3.677451770766428
load109,3.6774517707664334
load31,3.677451770766436
load165,3.677451770766431
load145,3.6774517707664347
load150,3.677451770766432
load173,3.677451770766432
load120,3.677451770766431
load134,3.677451770766431
load171,3.6774517707664285
load13,3.677451770766432
load84,3.677451770766428
load154,3.677451770766428
load95,3.6774517707664347
load42,3.677451770766432
load82,3.6774517707664396
load99,3.6774517707664307
load76,3.6774517707664294
load124,3.67745177076643
load3,3.677451770766436
load132,3.67745177076643
load155,3.67745177076643
load2,3.6774517707664325
load57,3.677451770766431
load115,3.677451770766436
load37,3.6774517707664294
load149,3.6774517707664347
load5,3.6774517707664307
load50,3.677451770766431
load164,3.6774517707664294
load123,3.6774517707664063
load32,3.677451770766434
load39,3.6774517707665213
load142,3.6774517707664347
load48,3.6774517707664307
load71,3.67745177076643
load106,3.677451770766432
load89,3.67745177076643
load133,3.6774517707664347
load73,3.6774517707664325
load119,3.677451770766431
load108,3.67745177076643
load45,3.677451770766431
load58,3.6774517707664383
load62,3.677451770766434
load172,3.677451770766431
load167,3.677451770766432
load10,3.6774517707664307
load157,3.6774517707664334
load88,3.677451770766431
load91,3.67745177076643
load105,3.677451770766434
load6,3.6774517707664334
load54,3.677451770766431
load65,3.677451770766435
load43,3.677451770766435
load110,3.6774517707664334
load83,3.677451770766434
load143,3.6774517707664325
load1,3.6774517707664325
load26,3.6774517707664307
load156,3.6774517707664347
load75,3.67745177076643
load128,3.677451770766431
load59,3.6774517707664307
load40,3.677451770766434
load86,3.67745177076643
load101,3.677451770766432
load111,3.6774517707664294
load100,3.677451770766431
load158,3.6774517707664307
load61,3.677451770766432
load118,3.677451770766431
load136,3.6774517707664334
load22,3.6774517707664875
load64,3.677451770766431
load30,3.677451770766434
load129,3.677451770766434
load175,3.6774517707664334
load137,3.677451770766435
load60,3.6774517707664294
load14,3.67745177076643
load70,3.67745177076643
load4,3.677451770766432
load16,3.6774517707664307
load23,3.6774517707664334
load49,3.677451770766432
load35,3.6774517707664307
load168,3.6774517707664307
load63,3.6774517707664285
